[2025-05-19 19:01:00] Sent: 0.02 MB, Received: 0.13 MB, Total: 0.15 MB
[2025-05-19 19:01:05] Sent: 0.09 MB, Received: 1.52 MB, Total: 1.61 MB
[2025-05-19 19:01:10] Sent: 0.20 MB, Received: 2.74 MB, Total: 2.94 MB
[2025-05-19 19:01:15] Sent: 0.02 MB, Received: 0.65 MB, Total: 0.67 MB
[2025-05-19 19:01:20] Sent: 0.03 MB, Received: 0.11 MB, Total: 0.14 MB
[2025-05-19 19:01:25] Sent: 0.07 MB, Received: 6.26 MB, Total: 6.32 MB
[2025-05-19 19:01:30] Sent: 0.14 MB, Received: 0.16 MB, Total: 0.29 MB
[2025-05-19 19:01:35] Sent: 0.01 MB, Received: 0.14 MB, Total: 0.15 MB
[2025-05-19 19:01:40] Sent: 0.01 MB, Received: 0.11 MB, Total: 0.12 MB
[2025-05-19 19:01:45] Sent: 0.10 MB, Received: 1.59 MB, Total: 1.69 MB
[2025-05-19 19:01:50] Sent: 0.01 MB, Received: 0.06 MB, Total: 0.07 MB
[2025-05-19 19:01:55] Sent: 0.01 MB, Received: 0.10 MB, Total: 0.11 MB
[2025-05-19 19:02:00] Sent: 0.01 MB, Received: 0.08 MB, Total: 0.09 MB
[2025-05-19 19:02:05] Sent: 0.02 MB, Received: 0.09 MB, Total: 0.11 MB
[2025-05-19 19:02:10] Sent: 0.01 MB, Received: 0.08 MB, Total: 0.08 MB
[2025-05-19 19:02:15] Sent: 0.04 MB, Received: 0.11 MB, Total: 0.15 MB
[2025-05-19 19:02:20] Sent: 0.01 MB, Received: 0.08 MB, Total: 0.09 MB
[2025-05-19 19:02:25] Sent: 0.01 MB, Received: 0.06 MB, Total: 0.07 MB
[2025-05-19 19:02:30] Sent: 0.01 MB, Received: 0.08 MB, Total: 0.08 MB
[2025-05-19 19:02:35] Sent: 0.69 MB, Received: 0.07 MB, Total: 0.76 MB
[2025-05-19 19:02:40] Sent: 0.01 MB, Received: 0.16 MB, Total: 0.17 MB
[2025-05-19 19:02:45] Sent: 0.01 MB, Received: 0.09 MB, Total: 0.10 MB
[2025-05-19 19:02:50] Sent: 0.01 MB, Received: 0.08 MB, Total: 0.08 MB
[2025-05-19 19:02:55] Sent: 0.01 MB, Received: 0.11 MB, Total: 0.12 MB
[2025-05-19 19:03:00] Sent: 0.01 MB, Received: 0.07 MB, Total: 0.08 MB
[2025-05-19 19:03:05] Sent: 0.01 MB, Received: 0.06 MB, Total: 0.07 MB
[2025-05-19 19:03:10] Sent: 0.01 MB, Received: 0.14 MB, Total: 0.15 MB
[2025-05-19 19:03:15] Sent: 0.70 MB, Received: 0.10 MB, Total: 0.79 MB
[2025-05-19 19:03:20] Sent: 0.72 MB, Received: 0.12 MB, Total: 0.85 MB
[2025-05-19 19:03:25] Sent: 0.02 MB, Received: 0.10 MB, Total: 0.11 MB
[2025-05-19 19:03:30] Sent: 0.02 MB, Received: 0.18 MB, Total: 0.20 MB
[2025-05-19 19:03:35] Sent: 0.02 MB, Received: 0.08 MB, Total: 0.10 MB
[2025-05-19 19:03:40] Sent: 0.02 MB, Received: 0.11 MB, Total: 0.13 MB
[2025-05-19 19:03:45] Sent: 0.02 MB, Received: 0.09 MB, Total: 0.10 MB
[2025-05-19 19:03:50] Sent: 0.02 MB, Received: 0.07 MB, Total: 0.09 MB
