[2025-05-22 12:03:49] Service: HTTPS | 10.100.2.236:61138 -> 3.92.5.174:443 | PID: 19744 (Cursor.exe)
[2025-05-22 12:03:49] Service: HTTPS | 10.100.2.236:57774 -> 104.18.18.125:443 | PID: 13452 (Cursor.exe)
[2025-05-22 12:03:49] Service: HTTPS | 10.100.2.236:62658 -> 92.123.239.72:443 | PID: 22244 (explorer.exe)
[2025-05-22 12:03:49] Service: HTTPS | 10.100.2.236:49443 -> 20.199.120.151:443 | PID: 6072 (svchost.exe)
[2025-05-22 12:03:49] Service: HTTPS | 10.100.2.236:62054 -> 52.3.92.147:443 | PID: 13452 (Cursor.exe)
[2025-05-22 12:03:49] Service: HTTPS | 10.100.2.236:62076 -> 3.214.69.145:443 | PID: 13452 (Cursor.exe)
[2025-05-22 12:03:49] Service: HTTPS | 10.100.2.236:62601 -> 20.189.173.13:443 | PID: 22184 (MicrosoftStartFeedProvider.exe)
[2025-05-22 12:03:49] Service: HTTPS | 10.100.2.236:61133 -> 3.92.5.174:443 | PID: 13452 (Cursor.exe)
[2025-05-22 12:03:49] Service: HTTPS | 10.100.2.236:62590 -> 96.17.207.150:443 | PID: 22184 (MicrosoftStartFeedProvider.exe)
[2025-05-22 12:03:49] Service: HTTPS | 10.100.2.236:61200 -> 52.73.26.157:443 | PID: 13452 (Cursor.exe)
[2025-05-22 12:03:49] Service: HTTPS | 10.100.2.236:61027 -> 54.211.158.4:443 | PID: 19744 (Cursor.exe)
[2025-05-22 12:03:49] Service: HTTPS | 10.100.2.236:56435 -> 3.68.63.139:443 | PID: 8892 (slack.exe)
[2025-05-22 12:03:49] Service: HTTPS | 10.100.2.236:62111 -> 162.159.133.234:443 | PID: 4276 (Discord.exe)
[2025-05-22 12:03:49] Service: HTTPS | 10.100.2.236:62589 -> 3.67.131.16:443 | PID: 8892 (slack.exe)
[2025-05-22 12:03:49] Service: HTTPS | 10.100.2.236:61486 -> 140.82.113.26:443 | PID: 1344 (chrome.exe)
[2025-05-22 12:03:49] Service: HTTPS | 10.100.2.236:60975 -> 54.167.75.95:443 | PID: 13452 (Cursor.exe)
[2025-05-22 12:03:49] Service: HTTPS | 10.100.2.236:62596 -> 104.80.21.43:443 | PID: 11732 (msedgewebview2.exe)
